Sequence	Count	Probability(%)
4141	177	0.009941
2485	176	0.009884
3031	176	0.009884
2793	176	0.009884
2422	175	0.009828
8008	175	0.009828
2133	175	0.009828
1869	175	0.009828
2132	175	0.009828
0800	175	0.009828
1244	175	0.009828
3303	174	0.009772
2582	174	0.009772
2227	174	0.009772
8807	174	0.009772
1075	174	0.009772
6453	173	0.009716
5353	173	0.009716
9191	173	0.009716
1584	173	0.009716
4554	173	0.009716
1259	173	0.009716
1145	173	0.009716
3120	173	0.009716
1630	173	0.009716
0010	172	0.009660
3388	172	0.009660
2183	172	0.009660
2584	172	0.009660
2729	172	0.009660
1175	171	0.009604
5253	171	0.009604
1598	171	0.009604
1794	171	0.009604
1276	171	0.009604
1597	171	0.009604
2283	170	0.009547
1482	170	0.009547
2892	170	0.009547
1569	170	0.009547
2792	170	0.009547
7789	170	0.009547
2419	170	0.009547
1340	170	0.009547
2494	170	0.009547
1629	170	0.009547
1494	170	0.009547
2195	170	0.009547
1583	169	0.009491
1613	169	0.009491
2294	169	0.009491
1342	169	0.009491
4646	169	0.009491
2420	169	0.009491
3991	169	0.009491
2593	169	0.009491
2333	168	0.009435
0022	168	0.009435
8789	168	0.009435
7707	168	0.009435
6661	168	0.009435
1384	167	0.009379
3221	167	0.009379
3223	167	0.009379
1669	167	0.009379
2545	167	0.009379
2830	166	0.009323
7600	166	0.009323
3321	166	0.009323
2087	166	0.009323
3104	166	0.009323
3377	166	0.009323
3355	166	0.009323
1265	166	0.009323
1097	166	0.009323
1079	166	0.009323
2456	165	0.009267
1531	165	0.009267
3212	165	0.009267
2274	165	0.009267
8605	165	0.009267
1334	165	0.009267
2483	165	0.009267
1477	165	0.009267
1895	165	0.009267
2145	164	0.009210
2687	164	0.009210
3300	164	0.009210
2786	164	0.009210
3313	164	0.009210
2987	164	0.009210
2888	164	0.009210
1267	164	0.009210
2547	164	0.009210
1135	163	0.009154
1934	163	0.009154
2180	163	0.009154
1078	163	0.009154
1795	163	0.009154
1174	163	0.009154
1332	162	0.009098
2086	162	0.009098
1274	162	0.009098
2228	162	0.009098
1483	161	0.009042
5472	161	0.009042
3188	161	0.009042
8788	161	0.009042
1382	161	0.009042
2730	160	0.008986
2377	160	0.008986
1685	160	0.008986
0099	160	0.008986
1684	160	0.008986
2481	160	0.008986
4500	160	0.008986
1346	160	0.008986
8604	159	0.008930
1333	159	0.008930
0990	159	0.008930
1347	159	0.008930
2785	159	0.008930
1694	158	0.008873
2341	158	0.008873
5891	158	0.008873
0015	158	0.008873
1615	158	0.008873
1686	158	0.008873
2629	158	0.008873
2334	157	0.008817
1358	157	0.008817
5588	157	0.008817
2495	157	0.008817
1380	157	0.008817
7799	157	0.008817
2480	157	0.008817
4589	156	0.008761
2299	156	0.008761
3690	156	0.008761
2085	156	0.008761
7997	156	0.008761
1257	156	0.008761
1055	156	0.008761
0002	156	0.008761
2236	156	0.008761
2800	155	0.008705
2813	155	0.008705
1251	155	0.008705
1894	155	0.008705
8669	155	0.008705
2496	155	0.008705
9111	155	0.008705
1594	155	0.008705
6300	154	0.008649
7007	154	0.008649
0258	154	0.008649
3366	154	0.008649
5500	154	0.008649
6989	154	0.008649
4400	154	0.008649
1883	154	0.008649
1775	154	0.008649
9119	154	0.008649
5646	154	0.008649
5522	154	0.008649
2548	154	0.008649
1480	153	0.008593
5689	153	0.008593
2181	153	0.008593
2378	153	0.008593
3825	153	0.008593
2478	153	0.008593
2199	153	0.008593
3939	153	0.008593
1268	152	0.008537
1166	152	0.008537
2887	152	0.008537
2893	152	0.008537
7896	152	0.008537
4512	152	0.008537
2815	152	0.008537
3264	151	0.008480
1035	151	0.008480
2380	151	0.008480
2281	151	0.008480
6900	151	0.008480
0004	151	0.008480
2541	151	0.008480
2692	151	0.008480
1266	151	0.008480
2592	150	0.008424
6688	150	0.008424
3322	150	0.008424
5151	150	0.008424
8586	150	0.008424
2143	150	0.008424
1876	150	0.008424
3412	150	0.008424
1246	150	0.008424
4077	150	0.008424
9905	150	0.008424
4422	149	0.008368
3250	149	0.008368
2985	149	0.008368
1470	149	0.008368
1240	149	0.008368
1359	149	0.008368
2581	149	0.008368
2713	149	0.008368
2477	149	0.008368
2177	149	0.008368
4100	149	0.008368
2482	149	0.008368
6891	148	0.008312
2794	148	0.008312
0587	148	0.008312
1438	148	0.008312
4569	148	0.008312
1147	148	0.008312
7171	148	0.008312
1056	148	0.008312
1678	148	0.008312
1252	148	0.008312
2220	147	0.008256
9889	147	0.008256
6060	147	0.008256
8123	147	0.008256
5577	147	0.008256
2685	147	0.008256
2694	147	0.008256
2092	146	0.008200
3369	146	0.008200
1532	146	0.008200
5673	146	0.008200
1716	146	0.008200
3190	146	0.008200
1580	146	0.008200
2396	146	0.008200
1381	146	0.008200
1396	146	0.008200
2723	146	0.008200
1831	146	0.008200
8687	145	0.008143
2714	145	0.008143
1542	145	0.008143
5123	145	0.008143
1731	145	0.008143
8800	145	0.008143
1076	145	0.008143
1877	145	0.008143
1450	144	0.008087
1782	144	0.008087
2278	144	0.008087
9801	144	0.008087
2093	144	0.008087
3173	144	0.008087
1170	144	0.008087
2885	144	0.008087
2479	144	0.008087
1141	144	0.008087
3323	143	0.008031
5477	143	0.008031
2381	143	0.008031
3191	143	0.008031
6630	143	0.008031
0889	143	0.008031
1273	143	0.008031
1777	143	0.008031
2693	143	0.008031
2816	143	0.008031
9293	143	0.008031
2595	143	0.008031
8991	142	0.007975
0369	142	0.007975
1137	142	0.007975
0890	142	0.007975
2617	142	0.007975
2894	142	0.007975
8246	142	0.007975
3132	141	0.007919
2144	141	0.007919
1458	141	0.007919
3393	141	0.007919
1355	141	0.007919
0187	141	0.007919
0229	141	0.007919
3311	141	0.007919
6869	141	0.007919
5623	141	0.007919
1896	141	0.007919
2700	140	0.007863
3205	140	0.007863
1253	140	0.007863
1783	140	0.007863
1142	140	0.007863
2579	140	0.007863
1152	140	0.007863
3106	140	0.007863
8462	139	0.007806
1897	139	0.007806
3117	139	0.007806
9901	139	0.007806
3122	139	0.007806
2357	139	0.007806
5525	139	0.007806
2993	139	0.007806
1599	139	0.007806
0786	138	0.007750
9891	138	0.007750
0024	138	0.007750
0690	138	0.007750
9008	138	0.007750
1631	138	0.007750
4523	138	0.007750
9192	138	0.007750
1378	138	0.007750
0017	137	0.007694
1383	137	0.007694
1074	137	0.007694
0891	137	0.007694
1156	137	0.007694
2142	137	0.007694
3773	137	0.007694
1533	137	0.007694
1172	137	0.007694
3891	137	0.007694
1042	136	0.007638
1481	136	0.007638
6677	136	0.007638
2272	136	0.007638
3399	136	0.007638
4588	136	0.007638
7610	136	0.007638
9797	136	0.007638
1157	136	0.007638
1472	136	0.007638
3201	136	0.007638
1272	136	0.007638
2913	135	0.007582
1399	135	0.007582
6987	135	0.007582
2886	135	0.007582
9123	135	0.007582
4521	135	0.007582
2355	135	0.007582
2722	135	0.007582
8588	135	0.007582
1455	135	0.007582
1661	135	0.007582
4020	135	0.007582
2995	135	0.007582
7734	135	0.007582
3021	135	0.007582
6161	135	0.007582
1356	135	0.007582
9210	135	0.007582
2795	135	0.007582
2379	134	0.007526
2432	134	0.007526
8503	134	0.007526
7879	134	0.007526
1057	134	0.007526
2279	134	0.007526
3693	134	0.007526
2242	134	0.007526
2784	134	0.007526
0788	134	0.007526
1241	134	0.007526
5959	134	0.007526
5100	134	0.007526
1047	133	0.007469
1159	133	0.007469
2280	133	0.007469
1352	133	0.007469
2622	132	0.007413
8805	132	0.007413
2382	132	0.007413
1072	132	0.007413
1350	132	0.007413
2498	132	0.007413
0016	132	0.007413
1682	132	0.007413
2980	132	0.007413
1360	132	0.007413
3125	132	0.007413
2986	131	0.007357
1375	131	0.007357
1484	131	0.007357
1263	131	0.007357
4949	131	0.007357
2434	131	0.007357
2245	131	0.007357
1034	131	0.007357
1683	131	0.007357
9112	131	0.007357
9989	130	0.007301
1260	130	0.007301
3213	130	0.007301
2884	130	0.007301
2639	130	0.007301
2818	130	0.007301
0018	130	0.007301
2883	130	0.007301
1065	129	0.007245
4404	129	0.007245
7827	129	0.007245
9899	129	0.007245
1582	129	0.007245
8869	129	0.007245
1499	129	0.007245
5775	129	0.007245
7913	129	0.007245
2769	129	0.007245
1176	129	0.007245
2182	128	0.007189
7285	128	0.007189
2435	128	0.007189
1680	128	0.007189
4891	128	0.007189
7887	128	0.007189
4420	128	0.007189
4590	128	0.007189
4789	128	0.007189
1064	128	0.007189
2031	128	0.007189
1817	128	0.007189
4477	128	0.007189
3090	128	0.007189
3116	128	0.007189
1445	128	0.007189
1366	128	0.007189
1459	128	0.007189
2543	128	0.007189
1632	128	0.007189
8732	128	0.007189
3400	127	0.007132
9904	127	0.007132
2254	127	0.007132
2433	127	0.007132
9987	127	0.007132
2613	127	0.007132
3124	127	0.007132
2716	127	0.007132
2198	127	0.007132
1376	127	0.007132
9903	127	0.007132
2717	126	0.007076
5599	126	0.007076
3025	126	0.007076
1067	126	0.007076
3022	126	0.007076
4207	126	0.007076
2983	126	0.007076
8905	125	0.007020
2135	125	0.007020
0025	125	0.007020
7117	125	0.007020
2599	125	0.007020
3186	125	0.007020
9966	125	0.007020
2695	125	0.007020
4563	125	0.007020
1344	124	0.006964
8122	124	0.006964
2825	124	0.006964
2900	124	0.006964
8892	124	0.006964
1898	124	0.006964
7899	124	0.006964
0192	124	0.006964
1264	124	0.006964
6123	124	0.006964
1475	124	0.006964
1496	124	0.006964
5233	124	0.006964
2399	123	0.006908
1060	123	0.006908
2616	123	0.006908
3192	123	0.006908
2679	123	0.006908
3130	123	0.006908
2822	123	0.006908
2235	123	0.006908
2726	123	0.006908
0988	123	0.006908
2343	123	0.006908
2624	123	0.006908
1545	123	0.006908
2623	123	0.006908
9495	122	0.006852
3133	122	0.006852
2337	122	0.006852
8486	122	0.006852
5456	122	0.006852
3020	122	0.006852
8485	122	0.006852
3269	122	0.006852
5210	122	0.006852
2719	122	0.006852
2178	122	0.006852
2252	122	0.006852
0288	122	0.006852
2814	122	0.006852
1368	122	0.006852
3187	121	0.006796
7227	121	0.006796
9911	121	0.006796
5610	121	0.006796
2614	121	0.006796
6911	121	0.006796
9205	121	0.006796
2196	121	0.006796
3215	121	0.006796
1073	121	0.006796
2819	121	0.006796
3115	120	0.006739
3092	120	0.006739
0688	120	0.006739
1036	120	0.006739
2080	120	0.006739
4862	120	0.006739
3036	120	0.006739
2344	120	0.006739
2621	120	0.006739
2895	120	0.006739
2718	120	0.006739
8808	120	0.006739
2994	119	0.006683
2084	119	0.006683
8908	119	0.006683
9394	119	0.006683
3312	119	0.006683
2258	119	0.006683
8283	119	0.006683
5569	119	0.006683
1872	119	0.006683
3102	119	0.006683
0880	119	0.006683
3390	119	0.006683
1880	119	0.006683
3721	119	0.006683
2625	119	0.006683
2996	119	0.006683
3306	119	0.006683
1695	119	0.006683
9211	118	0.006627
1457	118	0.006627
6913	118	0.006627
3698	118	0.006627
0071	118	0.006627
2594	118	0.006627
1372	118	0.006627
4884	118	0.006627
1154	118	0.006627
2544	118	0.006627
2374	118	0.006627
2546	118	0.006627
2262	118	0.006627
4110	118	0.006627
0019	118	0.006627
2619	118	0.006627
6606	118	0.006627
3993	118	0.006627
2250	118	0.006627
1037	118	0.006627
8284	118	0.006627
9906	118	0.006627
3185	117	0.006571
8688	117	0.006571
1567	117	0.006571
2276	117	0.006571
2256	117	0.006571
9110	117	0.006571
7711	117	0.006571
2296	117	0.006571
3600	117	0.006571
1879	117	0.006571
1171	117	0.006571
3305	117	0.006571
0009	117	0.006571
9500	117	0.006571
1053	116	0.006515
2715	116	0.006515
7980	116	0.006515
2147	116	0.006515
3883	116	0.006515
4210	116	0.006515
5501	116	0.006515
3234	116	0.006515
3126	116	0.006515
7123	116	0.006515
3345	116	0.006515
1633	116	0.006515
2365	116	0.006515
8488	116	0.006515
2683	116	0.006515
5001	116	0.006515
1577	116	0.006515
4556	116	0.006515
2931	116	0.006515
0005	115	0.006459
8487	115	0.006459
1398	115	0.006459
8791	115	0.006459
6686	115	0.006459
2032	115	0.006459
2615	115	0.006459
1153	115	0.006459
1161	115	0.006459
3189	115	0.006459
0590	115	0.006459
1158	115	0.006459
0586	115	0.006459
2899	115	0.006459
2783	114	0.006402
8790	114	0.006402
6942	114	0.006402
9001	114	0.006402
7700	114	0.006402
1165	114	0.006402
3018	114	0.006402
8988	114	0.006402
2681	114	0.006402
3315	114	0.006402
3091	114	0.006402
1681	114	0.006402
0852	114	0.006402
6190	113	0.006346
1038	113	0.006346
5665	113	0.006346
0989	113	0.006346
1070	113	0.006346
0687	113	0.006346
4411	113	0.006346
9105	113	0.006346
2083	113	0.006346
4600	113	0.006346
2563	113	0.006346
7467	113	0.006346
9193	113	0.006346
1781	113	0.006346
7778	113	0.006346
5005	113	0.006346
3689	113	0.006346
4456	113	0.006346
1679	113	0.006346
2697	113	0.006346
1498	113	0.006346
3410	113	0.006346
2720	113	0.006346
1364	113	0.006346
7070	113	0.006346
3304	113	0.006346
2918	113	0.006346
1870	113	0.006346
9669	113	0.006346
2781	113	0.006346
5567	113	0.006346
4578	113	0.006346
3421	112	0.006290
8900	112	0.006290
1335	112	0.006290
8811	112	0.006290
2922	112	0.006290
8384	112	0.006290
8906	112	0.006290
1071	112	0.006290
1054	112	0.006290
8822	112	0.006290
3128	112	0.006290
7714	112	0.006290
6275	112	0.006290
3114	111	0.006234
3288	111	0.006234
2179	111	0.006234
5455	111	0.006234
0777	111	0.006234
6905	111	0.006234
1043	111	0.006234
4231	111	0.006234
2782	111	0.006234
3800	111	0.006234
7500	111	0.006234
1454	111	0.006234
3111	111	0.006234
7412	111	0.006234
2696	111	0.006234
1151	111	0.006234
4991	111	0.006234
2094	111	0.006234
3691	111	0.006234
1164	111	0.006234
1041	111	0.006234
3127	111	0.006234
3301	111	0.006234
2564	111	0.006234
5544	111	0.006234
2275	111	0.006234
2678	111	0.006234
6610	111	0.006234
1062	110	0.006178
8642	110	0.006178
1046	110	0.006178
8898	110	0.006178
1044	110	0.006178
2034	110	0.006178
2150	110	0.006178
8504	110	0.006178
2596	110	0.006178
2879	110	0.006178
3089	110	0.006178
5464	110	0.006178
3699	110	0.006178
0787	110	0.006178
1780	110	0.006178
3326	110	0.006178
3027	110	0.006178
3791	109	0.006122
3663	109	0.006122
9600	109	0.006122
3233	109	0.006122
3411	109	0.006122
2831	109	0.006122
2780	109	0.006122
4591	109	0.006122
1367	109	0.006122
3551	109	0.006122
2033	109	0.006122
1540	109	0.006122
4300	109	0.006122
4213	109	0.006122
2823	109	0.006122
1578	109	0.006122
1871	109	0.006122
2165	109	0.006122
6680	109	0.006122
9091	109	0.006122
9010	108	0.006065
6904	108	0.006065
6907	108	0.006065
9109	108	0.006065
2880	108	0.006065
9902	108	0.006065
2342	108	0.006065
2168	108	0.006065
2917	108	0.006065
2436	108	0.006065
6991	108	0.006065
7895	108	0.006065
2721	108	0.006065
1550	108	0.006065
2475	108	0.006065
2497	108	0.006065
5115	108	0.006065
2297	108	0.006065
6901	108	0.006065
9802	107	0.006009
2248	107	0.006009
0008	107	0.006009
4205	107	0.006009
6111	107	0.006009
6788	107	0.006009
2699	107	0.006009
0689	107	0.006009
8812	107	0.006009
4484	107	0.006009
3088	107	0.006009
8587	107	0.006009
1699	107	0.006009
1167	107	0.006009
2095	107	0.006009
1440	107	0.006009
1666	107	0.006009
5452	107	0.006009
6280	107	0.006009
3015	107	0.006009
5490	106	0.005953
0100	106	0.005953
3307	106	0.005953
1769	106	0.005953
1271	106	0.005953
4113	106	0.005953
2984	106	0.005953
1173	106	0.005953
2578	106	0.005953
7766	106	0.005953
1058	106	0.005953
8426	106	0.005953
4212	106	0.005953
2618	106	0.005953
6002	106	0.005953
9294	106	0.005953
5299	105	0.005897
3202	105	0.005897
7782	105	0.005897
2240	105	0.005897
9874	105	0.005897
9596	105	0.005897
1354	105	0.005897
8183	105	0.005897
3262	105	0.005897
3141	105	0.005897
9805	105	0.005897
1798	105	0.005897
8877	105	0.005897
8992	105	0.005897
3169	105	0.005897
7800	105	0.005897
7781	105	0.005897
3553	105	0.005897
2667	104	0.005841
2140	104	0.005841
9012	104	0.005841
8404	104	0.005841
1773	104	0.005841
1365	104	0.005841
1363	104	0.005841
5494	104	0.005841
3325	104	0.005841
7991	104	0.005841
1052	104	0.005841
1140	104	0.005841
1555	104	0.005841
5321	104	0.005841
5289	104	0.005841
1856	104	0.005841
2366	104	0.005841
0289	104	0.005841
2141	104	0.005841
1799	104	0.005841
2398	104	0.005841
1535	104	0.005841
4568	104	0.005841
2731	104	0.005841
1497	104	0.005841
2455	104	0.005841
5585	103	0.005785
5700	103	0.005785
8200	103	0.005785
8691	103	0.005785
6790	103	0.005785
7733	103	0.005785
6500	103	0.005785
8844	103	0.005785
7785	103	0.005785
1270	103	0.005785
8792	103	0.005785
2265	103	0.005785
2474	103	0.005785
1136	103	0.005785
2826	103	0.005785
1349	103	0.005785
2298	103	0.005785
5002	103	0.005785
2598	103	0.005785
2346	103	0.005785
4190	102	0.005728
8689	102	0.005728
3425	102	0.005728
3705	102	0.005728
6101	102	0.005728
2820	102	0.005728
5885	102	0.005728
2237	102	0.005728
5565	102	0.005728
2846	102	0.005728
1696	102	0.005728
6690	102	0.005728
2821	102	0.005728
3392	102	0.005728
1732	102	0.005728
2680	102	0.005728
3013	102	0.005728
5263	102	0.005728
2466	102	0.005728
1463	102	0.005728
8302	102	0.005728
8902	102	0.005728
2566	102	0.005728
0027	102	0.005728
1474	102	0.005728
8998	102	0.005728
2577	102	0.005728
3024	102	0.005728
3435	102	0.005728
3216	102	0.005728
2869	102	0.005728
4004	102	0.005728
5606	102	0.005728
3387	101	0.005672
5201	101	0.005672
9395	101	0.005672
3733	101	0.005672
7981	101	0.005672
3510	101	0.005672
1562	101	0.005672
4125	101	0.005672
4587	101	0.005672
1371	101	0.005672
9007	101	0.005672
1249	101	0.005672
5590	101	0.005672
4812	101	0.005672
4112	101	0.005672
3443	101	0.005672
2620	101	0.005672
2358	101	0.005672
1845	101	0.005672
4689	101	0.005672
4011	101	0.005672
1571	101	0.005672
9106	101	0.005672
8505	101	0.005672
3180	101	0.005672
3339	101	0.005672
3334	101	0.005672
3023	100	0.005616
7664	100	0.005616
3505	100	0.005616
5587	100	0.005616
0191	100	0.005616
6972	100	0.005616
7926	100	0.005616
2273	100	0.005616
5187	100	0.005616
3230	100	0.005616
1341	100	0.005616
7786	100	0.005616
1351	100	0.005616
2354	100	0.005616
1447	100	0.005616
1778	100	0.005616
1168	100	0.005616
0666	100	0.005616
2817	100	0.005616
8118	100	0.005616
1573	100	0.005616
1049	100	0.005616
2175	100	0.005616
3489	99	0.005560
3314	99	0.005560
2253	99	0.005560
4566	99	0.005560
5698	99	0.005560
3177	99	0.005560
2920	99	0.005560
2170	99	0.005560
3650	99	0.005560
6689	99	0.005560
5290	99	0.005560
8402	99	0.005560
4220	99	0.005560
5499	99	0.005560
8903	99	0.005560
2197	99	0.005560
2464	99	0.005560
6886	99	0.005560
4561	99	0.005560
5400	99	0.005560
3987	99	0.005560
8523	99	0.005560
3669	99	0.005560
5595	99	0.005560
2877	99	0.005560
1039	99	0.005560
0394	99	0.005560
8121	99	0.005560
7677	99	0.005560
9799	99	0.005560
5953	99	0.005560
1262	99	0.005560
3014	99	0.005560
2035	99	0.005560
1068	99	0.005560
9981	98	0.005504
8385	98	0.005504
2136	98	0.005504
4546	98	0.005504
5412	98	0.005504
7465	98	0.005504
2631	98	0.005504
8081	98	0.005504
8521	98	0.005504
2264	98	0.005504
5691	98	0.005504
3789	98	0.005504
7780	98	0.005504
3389	98	0.005504
1444	98	0.005504
2246	98	0.005504
4290	98	0.005504
2450	98	0.005504
5789	98	0.005504
8421	98	0.005504
3283	98	0.005504
5991	98	0.005504
2036	98	0.005504
7982	98	0.005504
9977	98	0.005504
4565	98	0.005504
6979	98	0.005504
6667	98	0.005504
7889	97	0.005448
1261	97	0.005448
4506	97	0.005448
8210	97	0.005448
0033	97	0.005448
2565	97	0.005448
1654	97	0.005448
8589	97	0.005448
5506	97	0.005448
4130	97	0.005448
3195	97	0.005448
9405	97	0.005448
4562	97	0.005448
0486	97	0.005448
0388	97	0.005448
7411	97	0.005448
4211	97	0.005448
1560	97	0.005448
2044	97	0.005448
5586	97	0.005448
2878	97	0.005448
2367	97	0.005448
2171	97	0.005448
3245	97	0.005448
1348	97	0.005448
2174	97	0.005448
1149	96	0.005391
0088	96	0.005391
5859	96	0.005391
7769	96	0.005391
8901	96	0.005391
7699	96	0.005391
6543	96	0.005391
2370	96	0.005391
7795	96	0.005391
9311	96	0.005391
2176	96	0.005391
7845	96	0.005391
1374	96	0.005391
4499	96	0.005391
2137	96	0.005391
5791	96	0.005391
2082	96	0.005391
2919	96	0.005391
2779	96	0.005391
0791	96	0.005391
0389	96	0.005391
4520	96	0.005391
3692	96	0.005391
2473	96	0.005391
9779	96	0.005391
0286	95	0.005335
1832	95	0.005335
7783	95	0.005335
7126	95	0.005335
5687	95	0.005335
7654	95	0.005335
7400	95	0.005335
1640	95	0.005335
6100	95	0.005335
8778	95	0.005335
2154	95	0.005335
2725	95	0.005335
1796	95	0.005335
7792	95	0.005335
4105	95	0.005335
4489	95	0.005335
1059	95	0.005335
3087	95	0.005335
3588	95	0.005335
4406	95	0.005335
4206	95	0.005335
3026	95	0.005335
8100	95	0.005335
1148	95	0.005335
2045	95	0.005335
0190	95	0.005335
3711	95	0.005335
3028	95	0.005335
7893	95	0.005335
2663	95	0.005335
3394	95	0.005335
7722	95	0.005335
9021	95	0.005335
5679	95	0.005335
2926	95	0.005335
9510	95	0.005335
5020	95	0.005335
3016	94	0.005279
2896	94	0.005279
2247	94	0.005279
0390	94	0.005279
3324	94	0.005279
1465	94	0.005279
8405	94	0.005279
4312	94	0.005279
9791	94	0.005279
5966	94	0.005279
9496	94	0.005279
4424	94	0.005279
2069	94	0.005279
6488	94	0.005279
4311	94	0.005279
4182	94	0.005279
7892	94	0.005279
9804	94	0.005279
5826	94	0.005279
5112	94	0.005279
8124	94	0.005279
3206	94	0.005279
8182	94	0.005279
8433	94	0.005279
1563	94	0.005279
9305	94	0.005279
3330	94	0.005279
4585	94	0.005279
1343	94	0.005279
4791	94	0.005279
1850	94	0.005279
4407	94	0.005279
7985	94	0.005279
5600	94	0.005279
9699	94	0.005279
1572	94	0.005279
1565	94	0.005279
9986	93	0.005223
2349	93	0.005223
4132	93	0.005223
8911	93	0.005223
4433	93	0.005223
2243	93	0.005223
1634	93	0.005223
4269	93	0.005223
1844	93	0.005223
2352	93	0.005223
8228	93	0.005223
5489	93	0.005223
2465	93	0.005223
4102	93	0.005223
1865	93	0.005223
3193	93	0.005223
3290	93	0.005223
4101	93	0.005223
5214	93	0.005223
2925	93	0.005223
1833	93	0.005223
1468	93	0.005223
9909	93	0.005223
4121	93	0.005223
8506	93	0.005223
5690	92	0.005167
3490	92	0.005167
0790	92	0.005167
1139	92	0.005167
1556	92	0.005167
9798	92	0.005167
9002	92	0.005167
1581	92	0.005167
1362	92	0.005167
5107	92	0.005167
3420	92	0.005167
4405	92	0.005167
6400	92	0.005167
0006	92	0.005167
3184	92	0.005167
1852	92	0.005167
1836	92	0.005167
9598	92	0.005167
2046	92	0.005167
3084	92	0.005167
0231	92	0.005167
5211	92	0.005167
9806	92	0.005167
2251	92	0.005167
2241	92	0.005167
5335	92	0.005167
4494	92	0.005167
8201	92	0.005167
0292	92	0.005167
3119	92	0.005167
2542	92	0.005167
5312	92	0.005167
7797	92	0.005167
4283	91	0.005111
2376	91	0.005111
2556	91	0.005111
2340	91	0.005111
8184	91	0.005111
1051	91	0.005111
1439	91	0.005111
3606	91	0.005111
1476	91	0.005111
3487	91	0.005111
5213	91	0.005111
7898	91	0.005111
3109	91	0.005111
6970	91	0.005111
9212	91	0.005111
2979	91	0.005111
1536	91	0.005111
8388	91	0.005111
5491	91	0.005111
2166	91	0.005111
1664	91	0.005111
0070	91	0.005111
2156	91	0.005111
1336	91	0.005111
3040	91	0.005111
0028	91	0.005111
7277	91	0.005111
5280	91	0.005111
5011	91	0.005111
7882	91	0.005111
2923	91	0.005111
9521	91	0.005111
7002	91	0.005111
1698	91	0.005111
1867	91	0.005111
2682	91	0.005111
7861	91	0.005111
2747	90	0.005055
7688	90	0.005055
6999	90	0.005055
5488	90	0.005055
4688	90	0.005055
0291	90	0.005055
3700	90	0.005055
1451	90	0.005055
5010	90	0.005055
4826	90	0.005055
1534	90	0.005055
3455	90	0.005055
5055	90	0.005055
9304	90	0.005055
2467	90	0.005055
3308	90	0.005055
2457	90	0.005055
2350	90	0.005055
2778	90	0.005055
2164	90	0.005055
0020	90	0.005055
8707	90	0.005055
1063	90	0.005055
3194	90	0.005055
1160	90	0.005055
7986	90	0.005055
3383	90	0.005055
5504	90	0.005055
0792	90	0.005055
0985	90	0.005055
0986	90	0.005055
9499	90	0.005055
3207	90	0.005055
5688	89	0.004998
3474	89	0.004998
6985	89	0.004998
0589	89	0.004998
8301	89	0.004998
8199	89	0.004998
2077	89	0.004998
4421	89	0.004998
4389	89	0.004998
9503	89	0.004998
3217	89	0.004998
2238	89	0.004998
5326	89	0.004998
3612	89	0.004998
0691	89	0.004998
4787	89	0.004998
6279	89	0.004998
2915	89	0.004998
3662	89	0.004998
3095	89	0.004998
4202	89	0.004998
7447	89	0.004998
8810	89	0.004998
7669	89	0.004998
2148	89	0.004998
4475	89	0.004998
9597	89	0.004998
3478	89	0.004998
2799	89	0.004998
2060	89	0.004998
7905	88	0.004942
7667	88	0.004942
8823	88	0.004942
1373	88	0.004942
2981	88	0.004942
4905	88	0.004942
1061	88	0.004942
2898	88	0.004942
1677	88	0.004942
1855	88	0.004942
6921	88	0.004942
1460	88	0.004942
0189	88	0.004942
9004	88	0.004942
3142	88	0.004942
6305	88	0.004942
0230	88	0.004942
3482	88	0.004942
7779	88	0.004942
4124	88	0.004942
8191	88	0.004942
1650	88	0.004942
1636	88	0.004942
2476	88	0.004942
2916	88	0.004942
2635	88	0.004942
1770	88	0.004942
1574	88	0.004942
2372	88	0.004942
3244	88	0.004942
1466	88	0.004942
5523	88	0.004942
3590	88	0.004942
7988	88	0.004942
3019	88	0.004942
8712	88	0.004942
4700	88	0.004942
0494	88	0.004942
2914	88	0.004942
1564	88	0.004942
6801	88	0.004942
3900	88	0.004942
2567	88	0.004942
5612	88	0.004942
2982	88	0.004942
5900	87	0.004886
4152	87	0.004886
5420	87	0.004886
2470	87	0.004886
8311	87	0.004886
5203	87	0.004886
5283	87	0.004886
0188	87	0.004886
1467	87	0.004886
0588	87	0.004886
3289	87	0.004886
2881	87	0.004886
5288	87	0.004886
4560	87	0.004886
0284	87	0.004886
3578	87	0.004886
2438	87	0.004886
0591	87	0.004886
2042	87	0.004886
3296	87	0.004886
3179	87	0.004886
3569	87	0.004886
6605	87	0.004886
0593	87	0.004886
3182	87	0.004886
9011	87	0.004886
9698	87	0.004886
7679	87	0.004886
1442	87	0.004886
8186	87	0.004886
5512	87	0.004886
9412	87	0.004886
5639	87	0.004886
0098	87	0.004886
9512	87	0.004886
8403	87	0.004886
7706	87	0.004886
5224	87	0.004886
9632	87	0.004886
7210	87	0.004886
6906	87	0.004886
2677	87	0.004886
3118	87	0.004886
8855	87	0.004886
7784	87	0.004886
8704	86	0.004830
4466	86	0.004830
2359	86	0.004830
8987	86	0.004830
5788	86	0.004830
6624	86	0.004830
1734	86	0.004830
4001	86	0.004830
5503	86	0.004830
4002	86	0.004830
2160	86	0.004830
4120	86	0.004830
1674	86	0.004830
9990	86	0.004830
0484	86	0.004830
0153	86	0.004830
1473	86	0.004830
5686	86	0.004830
2397	86	0.004830
4401	86	0.004830
3265	86	0.004830
4485	86	0.004830
8886	86	0.004830
